"filename", "language", "TypeScript", "JSON", "JavaScript", "Properties", "JSON with Comments", "comment", "blank", "total"
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/.env", "Properties", 0, 0, 0, 7, 0, 11, 4, 22
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/claudia.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 11
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app.js", "JavaScript", 0, 0, 69, 0, 0, 3, 1, 73
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/config/auth.config.js", "JavaScript", 0, 0, 10, 0, 0, 0, 1, 11
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/config/db.config.js", "JavaScript", 0, 0, 33, 0, 0, 10, 1, 44
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/account/account.controller.js", "JavaScript", 0, 0, 27, 0, 0, 0, 1, 28
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/accounts/accounts.controller.js", "JavaScript", 0, 0, 159, 0, 0, 2, 1, 162
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/authorize/authorize.controller.js", "JavaScript", 0, 0, 80, 0, 0, 11, 1, 92
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/clients copy/clients.controller.js", "JavaScript", 0, 0, 70, 0, 0, 0, 1, 71
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/clients/clients.controller.js", "JavaScript", 0, 0, 67, 0, 0, 0, 1, 68
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/clients/services.controller.js", "JavaScript", 0, 0, 70, 0, 0, 0, 1, 71
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/consumers/clients.controller.js", "JavaScript", 0, 0, 70, 0, 0, 0, 1, 71
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/consumers/consumers.controller.js", "JavaScript", 0, 0, 67, 0, 0, 0, 1, 68
"/Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend/dist/app/controllers/invoices/invoices.controller.js", "JavaScript", 0, 0, 25, 0, 0, 2, 1, 28
