Date : 2024-03-31 15:15:54
Directory : /Users/himanshusukhpal/Desktop/Program Files/Projects/seva/seva-backend
Total : 86 files,  8136 codes, 196 comments, 174 blanks, all 8506 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          4 |      5,259 |          0 |          2 |      5,261 |
| JavaScript         |         64 |      2,507 |         71 |         64 |      2,642 |
| TypeScript         |         16 |        347 |         29 |         95 |        471 |
| JSON with Comments |          1 |         16 |         85 |          9 |        110 |
| Properties         |          1 |          7 |         11 |          4 |         22 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                    |         86 |      8,136 |        196 |        174 |      8,506 |
| . (Files)                                                                                                                            |          6 |      5,293 |         96 |         16 |      5,405 |
| dist                                                                                                                                 |         62 |      2,466 |         71 |         62 |      2,599 |
| dist (Files)                                                                                                                         |          2 |         75 |          3 |          2 |         80 |
| dist/app                                                                                                                             |         60 |      2,391 |         68 |         60 |      2,519 |
| dist/app/config                                                                                                                      |          2 |         43 |         10 |          2 |         55 |
| dist/app/controllers                                                                                                                 |         15 |      1,009 |         15 |         15 |      1,039 |
| dist/app/controllers/account                                                                                                         |          1 |         27 |          0 |          1 |         28 |
| dist/app/controllers/accounts                                                                                                        |          1 |        159 |          2 |          1 |        162 |
| dist/app/controllers/authorize                                                                                                       |          1 |         80 |         11 |          1 |         92 |
| dist/app/controllers/clients                                                                                                         |          2 |        137 |          0 |          2 |        139 |
| dist/app/controllers/clients copy                                                                                                    |          1 |         70 |          0 |          1 |         71 |
| dist/app/controllers/consumers                                                                                                       |          2 |        137 |          0 |          2 |        139 |
| dist/app/controllers/invoices                                                                                                        |          1 |         25 |          2 |          1 |         28 |
| dist/app/controllers/marketplace                                                                                                     |          1 |          1 |          0 |          1 |          2 |
| dist/app/controllers/produts                                                                                                         |          1 |         25 |          0 |          1 |         26 |
| dist/app/controllers/services                                                                                                        |          1 |         67 |          0 |          1 |         68 |
| dist/app/controllers/services copy                                                                                                   |          1 |         70 |          0 |          1 |         71 |
| dist/app/controllers/templates                                                                                                       |          1 |         76 |          0 |          1 |         77 |
| dist/app/controllers/transactions                                                                                                    |          1 |        135 |          0 |          1 |        136 |
| dist/app/middleware                                                                                                                  |          3 |         93 |          0 |          3 |         96 |
| dist/app/models                                                                                                                      |         27 |        815 |         43 |         27 |        885 |
| dist/app/models (Files)                                                                                                              |          1 |        229 |         37 |          1 |        267 |
